GENUS	SPECIES
Abditibacterium	utsteinense
Abditibacterium	
Abiotrophia	adiacens
Abiotrophia	balaenopterae
Abiotrophia	defectiva
Abiotrophia	elegans
Abiotrophia	
Abyssibacter	profundi
Abyssibacter	
Abyssicoccus	albus
Abyssicoccus	
Abyssivirga	alkaniphila
Abyssivirga	
Acanthopleuribacter	pedis
Acanthopleuribacter	
Acaricomes	phytoseiuli
Acaricomes	
Accumulibacter	
Acetanaerobacterium	elongatum
Acetanaerobacterium	
Acetatifactor	muris
Acetatifactor	
Acetitomaculum	ruminis
Acetitomaculum	
Acetivibrio	cellulolyticus
Acetivibrio	cellulosolvens
Acetivibrio	ethanolgignens
Acetivibrio	multivorans
Acetivibrio	
Acetoanaerobium	noterae
Acetoanaerobium	pronyense
Acetoanaerobium	sticklandii
Acetoanaerobium	
Acetobacter	aceti
Acetobacter	aceti
Acetobacter	aceti
Acetobacter	aceti
Acetobacter	aceti
Acetobacter	aceti
Acetobacter	cerevisiae
Acetobacter	cibinongensis
Acetobacter	diazotrophicus
Acetobacter	estunensis
Acetobacter	europaeus
Acetobacter	fabarum
Acetobacter	farinalis
Acetobacter	ghanensis
Acetobacter	hansenii
Acetobacter	indonesiensis
Acetobacter	intermedius
Acetobacter	lambici
Acetobacter	liquefaciens
Acetobacter	lovaniensis
Acetobacter	malorum
Acetobacter	methanolicus
Acetobacter	musti
Acetobacter	nitrogenifigens
Acetobacter	oboediens
Acetobacter	oeni
Acetobacter	okinawensis
Acetobacter	orientalis
Acetobacter	orleanensis
Acetobacter	oryzifermentans
Acetobacter	papayae
Acetobacter	pasteurianus
Acetobacter	pasteurianus
Acetobacter	pasteurianus
Acetobacter	pasteurianus
Acetobacter	pasteurianus
Acetobacter	pasteurianus
Acetobacter	peroxydans
Acetobacter	persici
Acetobacter	persicus
Acetobacter	pomorum
Acetobacter	senegalensis
Acetobacter	sicerae
Acetobacter	suratthanensis
Acetobacter	suratthaniensis
Acetobacter	syzygii
Acetobacter	thailandicus
Acetobacter	tropicalis
Acetobacter	xylinum
Acetobacter	xylinum
Acetobacter	xylinum
Acetobacter	xylinus
Acetobacter	xylinus
Acetobacter	xylinus
Acetobacter	
Acetobacterium	bakii
Acetobacterium	carbinolicum
Acetobacterium	fimetarium
Acetobacterium	malicum
Acetobacterium	paludosum
